
tania;session start;22-12-2023 11:54:55;1;-;-
tania;delete;22-12-2023 11:55:06;1;usuario;222
tania;insert;22-12-2023 11:55:42;1;usuario;22
tania;insert;22-12-2023 12:18:20;1;usuario;22
tania;log out;22-12-2023 12:18:59;1;-;-
tania;session start;22-12-2023 12:34:10;1;-;-
tania;session start;22-12-2023 12:34:10;1;-;-
tania;log out;22-12-2023 12:34:58;1;-;-
tania;session start;22-12-2023 12:38:24;1;-;-
tania;session start;22-12-2023 12:43:45;1;-;-
tania;session start;22-12-2023 12:44:20;1;-;-
tania;session start;22-12-2023 12:45:13;1;-;-
tania;session start;22-12-2023 12:45:37;1;-;-
tania;log out;22-12-2023 12:45:38;1;-;-
tania;session start;22-12-2023 12:45:55;1;-;-
tania;log out;22-12-2023 12:45:56;1;-;-
tania;session start;22-12-2023 12:47:11;1;-;-
tania;log out;22-12-2023 12:47:12;1;-;-
tania;session start;22-12-2023 12:47:50;1;-;-
tania;session start;22-12-2023 12:50:57;1;-;-
tania;session start;22-12-2023 12:53:03;1;-;-
tania;session start;22-12-2023 12:53:51;1;-;-
tania;log out;22-12-2023 12:53:53;1;-;-
tania;session start;22-12-2023 12:53:59;1;-;-
